Designator,Mid X,Mid Y,Rotation,Layer
R93,102.489,18.798,90.0,top
R94,101.219,22.289,270.0,top
R95,105.537,21.842,270.0,top
R96,105.537,18.798,90.0,top
R97,104.267,22.289,270.0,top
R98,84.201,54.1,270.0,top
R99,84.201,51.056,90.0,top
RN1,73.17,44.95,180.0,top
RN2,75.71,44.95,180.0,top
RN3,73.769,29.091,0.0,top
RN4,67.556,49.766,90.0,top
SW1,61.214,62.782,90.0,top
U1,45.65,39.69,180.0,top
U10,31.374,19.66,0.0,top
U11,31.374,27.788,0.0,top
U12,31.374,51.918,0.0,top
U13,31.374,60.046,0.0,top
U2,41.275,10.225,180.0,top
U3,86.487,60.387,0.0,top
U4,48.12,55.88,0.0,top
U5,72.4925,36.675,270.0,top
U6,31.794,39.971,270.0,top
U7,71.746,51.07,270.0,top
U8,98.01,29.166,180.0,top
U9,84.0,29.0,0.0,top
